game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (39-32),0,28,41,336,2,38,218,2,5.7,79,7.0,0,11,0,27,3,12,0,0,1,2,23,34,410,5,29,90,0,3.1,63,7.9,0,4,0,19,3,22,0,2
W (44-14),1,18,31,241,1,20,113,2,5.7,51,6.9,2,5,2,17,7,51,0,1,1,2,22,30,223,1,41,72,1,1.8,71,4.2,3,3,3,18,4,26,2,0
W (45-28),2,15,29,205,1,31,160,3,5.2,60,6.1,3,7,3,19,10,106,0,2,0,3,20,47,231,1,27,97,2,3.6,74,4.4,4,6,4,20,7,75,0,3
L (13-51),0,10,26,128,2,24,55,0,2.3,50,3.7,1,4,1,12,5,60,0,0,0,1,33,42,435,5,31,173,1,5.6,73,8.3,2,10,2,34,6,59,0,1
W (35-33),2,18,34,149,2,44,171,2,3.9,78,4.1,5,11,5,24,3,15,2,0,1,1,31,47,338,3,33,93,1,2.8,80,5.4,0,7,0,26,7,69,0,1
W (22-19),1,5,15,31,0,27,177,2,6.6,42,5.0,0,6,0,7,8,65,0,1,1,2,22,40,200,0,50,217,0,4.3,90,4.6,3,11,3,27,2,15,1,1
W (24-19),0,20,28,199,3,35,130,0,3.7,63,5.2,6,9,6,27,2,15,0,0,1,1,30,46,286,2,20,38,0,1.9,66,4.9,0,6,0,17,8,93,0,1
W (38-14),0,23,38,248,3,41,209,1,5.1,79,5.8,4,9,4,24,6,42,0,0,1,1,21,33,241,1,24,28,1,1.2,57,4.7,2,1,2,11,5,54,0,1
L (17-34),2,16,35,258,0,39,158,2,4.1,74,5.6,1,10,1,21,4,20,0,2,0,0,24,33,265,3,44,192,1,4.4,77,5.9,0,13,0,25,6,48,0,0
W (31-10),0,19,38,276,3,23,58,0,2.5,61,5.5,1,2,1,14,2,20,0,0,0,2,18,39,193,0,38,97,1,2.6,77,3.8,1,5,1,15,7,55,1,1
