Rk,School,From,To
284,Wesleyan (CT),1882,1905
285,West Texas State,1941,1985
286,West Virginia,1909,2023
287,West Virginia Wesleyan,1913,1916
288,Western Carolina,1977,1981
289,Western Kentucky,2009,2023
290,Western Michigan,1962,2023
291,Western State,1924,1937
292,Whitman,1923,1924
293,Wichita State,1945,1986
294,William & Mary,1922,1983
295,Williams,1886,1906
296,Wisconsin,1892,2023
297,Wofford,1914,1936
298,WPI,1888,1893
299,Wyoming,1905,2023
300,Xavier,1935,1973
301,Yale,1872,1981
